ID_CROPS_FR,GROUP_FR,CROPS_FR,ID_GROUP_FR,GROUP_FR_filtered,CROPS_FR_filtered,match,max_match,ID_GROUP_ICC,sim
BTH,Blé tendre,Blé tendre d’hiver,1,Blé tendre,Blé tendre dhiver,"[['GROUP_FR', 1, 'Blé tendre', 'Blé', 1, 100], ['CROPS_FR', 'BTH', 'Blé tendre dhiver', 'Blé', 1, 100]]","['GROUP_FR', 1, 'Blé tendre', 'Blé', 1, 100]",1.0,100.0
BTP,Blé tendre,Blé tendre de printemps,1,Blé tendre,Blé tendre de printemps,"[['GROUP_FR', 1, 'Blé tendre', 'Blé', 1, 100], ['CROPS_FR', 'BTP', 'Blé tendre de printemps', 'Blé', 1, 100]]","['GROUP_FR', 1, 'Blé tendre', 'Blé', 1, 100]",1.0,100.0
MID,Maïs grain et ensilage,Maïs doux,2,Maïs grain ensilage,Maïs doux,"[['GROUP_FR', 2, 'Maïs grain ensilage', 'Maïs', 1, 100], ['CROPS_FR', 'MID', 'Maïs doux', 'Maïs', 1, 100]]","['GROUP_FR', 2, 'Maïs grain ensilage', 'Maïs', 1, 100]",1.0,100.0
MIE,Maïs grain et ensilage,Maïs ensilage,2,Maïs grain ensilage,Maïs ensilage,"[['GROUP_FR', 2, 'Maïs grain ensilage', 'Maïs', 1, 100], ['CROPS_FR', 'MIE', 'Maïs ensilage', 'Maïs', 1, 100]]","['GROUP_FR', 2, 'Maïs grain ensilage', 'Maïs', 1, 100]",1.0,100.0
MIS,Maïs grain et ensilage,Maïs,2,Maïs grain ensilage,Maïs,"[['GROUP_FR', 2, 'Maïs grain ensilage', 'Maïs', 1, 100], ['CROPS_FR', 'MIS', 'Maïs', 'Maïs', 1, 100]]","['GROUP_FR', 2, 'Maïs grain ensilage', 'Maïs', 1, 100]",1.0,100.0
ORH,Orge,Orge d'hiver,3,Orge,Orge dhiver,"[['GROUP_FR', 3, 'Orge', 'Orge', 1, 100], ['CROPS_FR', 'ORH', 'Orge dhiver', 'Orge', 1, 100]]","['GROUP_FR', 3, 'Orge', 'Orge', 1, 100]",1.0,100.0
ORP,Orge,Orge de printemps,3,Orge,Orge de printemps,"[['GROUP_FR', 3, 'Orge', 'Orge', 1, 100], ['CROPS_FR', 'ORP', 'Orge de printemps', 'Orge', 1, 100]]","['GROUP_FR', 3, 'Orge', 'Orge', 1, 100]",1.0,100.0
AVH,Autres céréales,Avoine d’hiver,4,céréales,Avoine dhiver,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'AVH', 'Avoine dhiver', 'Avoine', 1, 100]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
AVP,Autres céréales,Avoine de printemps,4,céréales,Avoine de printemps,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'AVP', 'Avoine de printemps', 'Avoine', 1, 100]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
BDH,Autres céréales,Blé dur d’hiver,4,céréales,Blé dur dhiver,"[['GROUP_FR', 4, 'céréales', 'Céréales', 1, 88], ['GROUP_FR', 4, 'céréales', 'Céréales mélangées', 1, 88.0], ['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0], ['CROPS_FR', 'BDH', 'Blé dur dhiver', 'Blé', 1, 100]]","['GROUP_FR', 4, 'céréales', 'Autres céréales', 1, 100.0]",1.0,100.0
